index,Age,Prof,Det,Amb,Mins,Av Rat,Imp M,Pres,Cons,Ada,Inj Pr,WR,CA,Margin,Training facilities,Div Rep,Growth
18313,19.367556468172484,13,13,9,2630,6.95,4,12,9,12,12,2750,90,34,13,96,10
18314,22.034223134839152,10,9,13,1843,7.0,6,11,12,17,6,750,70,20,10,86,0
18315,18.50513347022587,11,11,12,0,0.0,11,11,7,10,8,1250,59,28,15,107,13
18316,18.379192334017795,10,11,11,20,6.8,4,12,6,10,7,2000,82,48,20,185,22
18317,18.803559206023273,11,9,12,0,0.0,16,11,11,15,6,1750,77,52,20,185,16
18318,18.412046543463383,11,15,11,0,0.0,8,12,8,17,14,1500,61,34,20,185,8
18319,18.80082135523614,9,7,12,0,0.0,16,11,19,19,7,2250,93,37,20,185,10
18320,18.21492128678987,15,12,13,2297,6.66,16,11,20,12,10,1250,73,30,14,85,13
18321,18.77618069815195,8,17,14,3,0.0,14,14,9,19,11,2000,82,57,20,185,10
18322,18.798083504449007,10,16,12,0,0.0,10,13,11,8,7,1750,72,8,20,185,0
18323,18.26420260095825,10,15,13,1768,6.79,12,10,16,15,8,1500,78,22,13,96,7
18324,25.347022587268995,15,15,10,2546,6.68,8,11,8,16,5,1250,85,15,4,91,0
18325,25.998631074606433,11,4,10,923,6.64,15,13,18,13,13,1900,88,22,11,73,0
18326,21.437371663244353,13,15,12,2251,7.06,11,13,14,7,12,3000,130,26,14,161,4
18327,20.112251882272417,11,13,13,1024,6.59,4,11,15,9,7,1000,82,7,1,66,0
18328,20.309377138945926,13,12,11,1665,6.79,8,9,11,10,8,2000,118,16,15,161,9
18330,18.71047227926078,11,8,11,14,0.0,8,11,9,20,5,2000,80,58,20,185,6
18331,18.8145106091718,12,6,11,788,6.78,2,11,20,15,13,5750,125,17,15,185,0
18332,18.811772758384667,13,7,9,0,0.0,6,11,12,7,10,2000,85,40,20,185,0
18333,17.867214236824093,10,12,14,75,6.75,16,13,9,8,11,2250,95,50,20,185,19
18334,18.46132785763176,9,6,10,2505,7.3,10,9,8,15,9,1750,94,36,18,96,13
18335,18.26694045174538,11,15,11,0,0.0,8,8,9,9,7,1500,66,61,20,185,17
18336,17.982203969883642,12,10,9,0,0.0,9,14,8,12,5,1500,80,50,20,185,7
18337,18.7378507871321,11,8,12,0,0.0,16,11,7,11,8,1750,75,53,18,185,8
18338,18.48596851471595,9,13,12,30,6.3,6,10,11,18,13,2250,92,39,20,185,2
18339,21.639972621492127,12,13,12,34,6.5,12,12,12,10,6,3400,108,20,15,125,0
18340,17.921971252566735,11,14,12,180,6.25,1,11,6,12,12,650,40,39,10,72,3
18341,18.628336755646817,13,12,10,0,0.0,8,10,8,9,7,750,65,28,13,107,9
18342,18.250513347022586,9,7,10,24,6.8,9,11,6,20,8,50,40,18,10,72,2
18343,18.639288158795345,12,10,11,0,0.0,13,10,16,12,7,750,65,14,13,85,1
18344,18.12457221081451,10,18,10,783,6.72,7,11,9,11,12,50,40,16,10,72,3
18345,18.321697467488022,13,13,11,0,0.0,2,12,9,11,10,50,30,24,10,72,2
18348,18.559890485968516,12,4,12,0,0.0,6,10,8,11,10,50,48,13,11,134,1
18349,18.1492128678987,14,12,10,551,6.71,10,11,10,19,5,3000,105,12,11,134,0
18350,19.408624229979466,8,14,9,0,0.0,9,13,10,17,7,750,60,37,15,130,10
18351,18.650239561943874,10,6,12,45,6.6,3,12,9,10,12,1750,92,26,11,134,0
18352,18.576317590691307,13,14,12,0,0.0,9,9,8,15,11,850,60,19,11,134,6
18353,18.088980150581794,13,5,10,0,0.0,7,11,11,19,14,1500,85,26,11,134,0
